,french,wolof
1824,"Ceci est un long bâtiment blanc. Il contient beaucoup de climatiseurs. Six climatiseurs apparaissent ici. En bas, six climatiseurs y apparaissent. On a étalé une table à manger rouge; des gens, vêtus de rouge, l'entourent. Mes hommages. Vous allez bien ?","lii daal, am taax la mu gudd mu weex. bari lool ay ubbi féexal. ci kaw, juróom benni ubbi-féexal feeñ na fi. ci suuf, juróom benni ubbi-féexal feeñ na fi. ñu lal laltu bu xonq, ay nit yu sol lu xonq séq ko. waaw noo ngi ziyaar. yaang ci jàmm?"
1825,"Sur cette photo se trouvent deux présidents. Ici, c'est en France. Il s'agît des présidents Macky Sall et Macron. Ils sont là, marchant sur un tapis rouge. Il y a des voitures qui sont derrière eux. Il y a des personnes debout à leur coté portant ce qui semble être des fil électriques; ce sont des policiers. Macky Sall et Macron, chacun d'eux porte des habits et des chaussures noirs  <mask>.",Nataal bii de ñaari président la. Fii nag France la mu di président Maki Sàll ak Macron ñi ngi noon di dox ci affaire bu rouge bi. Am na oto yu topp seen gannaaw. Am na ñu taxaw seen wet yor lu mel ni ay fiil ay policier lañ. Maki Sàll ak Macron ku nekk sol yére bu ñuul ak dàll yu ñuul kostin.
1826,"Sur cette photo datant d'il y a huit ans, j'y ai vu du couscous qu'on a préparé. Après l'avoir bien préparé, il s'accompagne de sauce qui est mélangée avec.",Juróom-ñetteelu nataal bi seetlu naa ci cere joo xam ne dañ koo defar. Biñ ko defaree bam noppi mu àndak ñeex moo xam ne moom lañ koy siife.
1827,"Oui encore, je vois que ceci est une automobile. Une automobile qui ne bouge pas. Des gendarmes sont à l'intérieur. Il y a un gendarme qui est devant. Oui c'est ce que j'ai vu.","Waaw ba tey lii de gis naa ne ag daamar, daamar gu taxaw la, ay sàndarma ñi ngi ci biir daamar ga, am na benn sàndarma bu nekk ca kanam. Waaw loolu de laa gis."
1828,"Oui sur cette photo ci aussi, j'y ai vu un bol blanc dans lequel on a mis du 'caakri' avec du raisin au dessus et posé sur le sol. C'est ça que j'y ai vu.","Waaw nataal bii tamit de gis naa ci benn bool bu weex ñu def ci caakiri def rasin ca kaw, teg ko nii ci suuf. Lool daal laa gis."
1829,"Sur cette photo ci, j'y vois quelqu'un portant le drapeau du Sénégal. Il semble que c'était, cependant, une marche de révolte. Il a coupé ce qui ressemble à une datte, un cocotier rouge, et l'a posé au milieu de la route. Ceux-là ont des vélos, ceux-là marchent avec leurs pieds.","Nataal bii maa ngi ciy gis ku yor raaya Senegaal. Daa mel ni ab nag doxu-ñaxtu la doonoon. Dagg lu mel ne tàndarma, garabu koko bu xonq, teg ko ci digg tali bi. Ñii yore 'velo', ñii dox ak seen tànk."
1830,"Salut ! Ceux-là qui ressemblent à des personnes qui habitent en Casamance, un pays qui est au Sénégal, eux sont ceux qui montrent cette colère, se lèvent comme ça, les uns assis, les autres debout, prenant leurs mains et les rassemblant pour montrer leurs mauvais humeur. Ils sont assis sur la route.","Salaawaalekum ! Ñii de, mel nañ ne, ay nit ñu dëkk kaasamaas, benn dëkk bu nekk Senegaal, ñoom ñooy wane seenuw naqar nii, daldi taxaw nii, ñenn ñi toog, ñenn ñi taxaw, jël seen loxo yi dajale ko ngir wane seenuw naqar. Ñoo ngi toog ci tali bi."
1831,"Cette photo ci c'est une photo sur laquelle je vois des jeunes du pays qui semblent en colère contre ce qui s'est passé dans leur pays et que les anciens les ont laissés. J'en vois, même, qui portent des habits blancs et des pantalons noirs. Beaucoup parmi eux portent des habits noirs et blancs, et d'autres portent des habits blancs. Ils sont levés sur la route, qui elle semble remplie de pierres qu'ils ont, peut-être, utilisé pour se battre contre les gendarmes. Au-dessus de la photo j'en vois qui écrivent quelque chose d'arrogant. Ceux qui habitent en Casamance l'appellent Sigicor.","Nataal bi ab nataal la boo xamante yni maa ngi ciy gis ay ndawi réew yoo xamante ni daa mel ni dañuy naqarlu loo xamante ni xew na ca seen réew te seen njiitu réew teg leen ko. Maa ngi ciy gis nag ñoo xamante ni dañoo sol lu weex aki ay tubéy yu ñuul. Bari ci ñoo xamante ni sol nañu yoo xamante ni ay yére yu ñuul la ak yu bula, am na yit ñu sol yu bula. Ñu ngi taxaw si kow tali tali bi nag xaw naa bari ay xeer ńàkkul ni ñoo ko jëfandikoo ngir jàmmarloo ak way takk-der yi. CI kow nataal bi maa ngi gis ñu bind si bind boo xamante ni réewu, dëkk bi nu naan Kaasamaas ñu koy wax Siggicoor."
1832,"C'est des poissons, oui. Ils sont de couleur bleue ou rouge.","Jën la waaw, Wu am wirgo Wu baxa ak Wu xonq."
1833,"Ah sur cette photo ci cependant, il y a un poisson. Il existe trois couleurs pour ce poisson. La première couleur est la jaune, ceux qui suivent sont le bleu et le blanc. Ce sont de jolis poissons.","Aah nataal bii nag, aw jën la. Jën wi mi ngi ame ñetti wirgo. Wirgo Wu jëkk Wi mboq la, Wu ci topp di bëlë, Wu ci topp di weex. Muy jën wu rafet."
1834,"Cette photo ci est celle d'un couteau. Un couteau pour lequel il y a du bois à côté ainsi que du fer. Ce qui est sur cette photo ci on l'appelle couteau. C'est un vieux couteau de couleur chocolat. Oui, c'est comme ça qu'il est.","Nataal bii de, nataal la boo xam ne ab paaka la, paaka boo xam ne paaka bi am na dénk ca wet ga ak weñ waaw. Nataal bii daal paaka lañ koy wax paaka bi daal beesul te daa chocolat waaw noon la mel."
1835,"Ceci est un long et jolie bâtiment. On a vu deux personnes à sa gauche, un homme et une femme allant ensemble avec des médicaments et des fleurs. À sa droite on a vu un bâtiment blanc avec des voitures devant. Le bâtiment est sur la route.",Lii ab tabax bu njool la bu rafet. Gis nañ ñaari nit ci càmmooñ bi benn góor ak benn jigéen ñu ànd ak ay garab ak fleurs. Ci ndey-joor bi gis nañ benn tabax bu weex ak ay oto ci kanamam. Tabax bi mi ngi ci kaw tali.
1836,"Sur cette photo, il y a un homme et une femme, des statuts debout auxquels sont attachées des chaînes. Comme si ils étaient des exclaves.",Nataal bii góor ak jigéen ay statut yu taxaw ñu takk leen ak ay chaîne. Mu mel ni ay jaam lañ daal.
1837,"Sur cette photo, on y voit un morceau de sucre. Un morceau de sucre qui est sec. Il peut aller dans le café, il peut aller dans d'autres et d'autres choses... Il peut aller dans le lait et il peut aller dans tout. On l'a mis dans un bol, un bol en chocolat... On a mis beaucoup de morceaux de sucres dedans.","Nataal bii nag ñu ngi ci gis bekku suukër. Bekku suukër, ëe suukër la ju wow. Ëe moom day dem ci kafe dina dem ci yeneen yeneen... Mën naa dem ci soow ak yépp mën na see dem. Ñooŋ kay def si benn bool, ëe ci benn bool bu sokolaa... Def si bekk suukër yu bëre."
1838,"Sur la photo, que vous m'avez envoyée, il y a une petite case dans la quelle il y a trois chambres. Il y a aussi beaucoup d'arbres. Il y a des gens qui sont assis là-bas au-dessus l'arbre. Il y a des gens qui sont sur la route en train de marcher. Il y a trois cases. Chacune d'elles a une nappe ou un rideau bleu.",Nataal bi ngeen ma yónnee de ab dëkku àll bu ndaw la boo xam ne ñetti néeg ñoo fa nekk. Te am na ay garab yu bari. Am na ay nit yu toog nële ca garab ga. Am na nit ñu nekk nii ci yoon wi di dox. Néegi ñax yi ñett la. Am nap ab rido bu bula.
1839,"Ceci est une tasse et une assiette. On y verse le café, mais aussi, elle est de couleur blanche ; la tasse est blanche, l'assiette est blanche. Si tu regardes à coté tu verras du café renversé sur le bois et du café qu'on a mis dans ce qui ressemble à un sachet.","Lii nag ëe kaas la ak palaat. Nu ciy xelli kafe gi waaye moomit dafa weex, kaas bi dafa weex, palaat bi weex. Boo xoolee ci wet gi dinga gis kafe gu tuuru ci kaw dénk bi ak kafe bu nu def ci lu mel ne mbuus."
1840,"Cette photo ci, c'en est une sur laquelle on est dans un domaine. Un domaine dans lequel il y a beaucoup de filles. Ce domaine là est très joli.",Waaw nataal bii de nataal la boo xam ne nataal bii ñi ngi nekk ci ab bërëb. Bërëb boo xam ne ay xale yu jigéen yu bari bari ñoo fa nekk. Bërëb bi nag bërëb bu rafet la.
1841,"Ceci est une chambre couverte d'herbe. En le couvrant d'herbe, la chambre est une sorte de chambre. La chambre est couverte d'herbe, des arbres en haut, des arbres en bas. Il y a beaucoup d'arbres tout de même.","Lii ab néeg la, néeg bi dañ kaa xadde ñax. Biñ ka xaddee ñax, néeg bi ab néeg la, néeg bi ñu xadde ko ñax ay garab nekk ca kaw ay garab nekk ci suuf. Bari nay garab lool nag sax."
1842,"Mes salutations les plus sincères. Toujours, sur la photo, on voit une case. Personne n'habite dans la case. Car en regardant bien on l'a peinte avec deux couleurs. Ils s'agissent de la couleur blanche et de la couleur chocolatée. Au-dessus, on y a posé des herbes. Devant la case, on voit deux enfants. L'enfant, le plus âgé, porte l'autre. Devant eux, on y voit un arbre. L'arbre est couvert de fruits. Devant eux, aussi, on voit une autre chambre. Ce n'est pas une case. Derrière eux, aussi, on voit d'autres chambres avec beaucoup d'herbes.","Asalaamu aleykum wa rahmatu laah, ba tey it ci biir nataal bi yaa ngi ciy gis benn néegu ñax. Néegu ñax bi nag kenn dëkku ci. Ndax booy xool dañ koo tabax ci ñaari melo. Melo yi nag, am na ci weex, am na ci sokolaa. Ci kow nag ñoo ngi ci teg ay ñax. Ci kanamu néegu ñax bi, ñoo ngi ciy gis ñaari gone. Gone gu mag gi moom moo boot gone gi ci des. Ci séen kanam ñoo ngi ciy gis genn garab. Garab gi mi ngi meññ. Ci seen kanam ba tay it ñoo ngi ciy gis beneen néeg. Néeg bi doonul néegu ñax. Ci seen ginaaw ba tay ñoo ngi fay gis yeneen néeg ak ay ñax yu bare."
1843,"Ceci est un lieu d'habitation qui contient un bahut, avec un miroir et des vivres à l'intérieur.","Lii ab dëkkuwaay la, ab dëkkuwaay am ab bayo ci biir, am ab seetu, am ay nekkukaay ci biir."
1844,Sur une photo qui date d'il y a trente trois ans j'y vois un frigo de couleur gris. Il semble que le poigner soit noir. Il est dans un espace complètement blanc.,Nataalu fanweer ak ñett maa ngi ciy gis ab benn frigot boo xam ne couleur bi dafa gris. Dafa mel ni fi ngay jàpp dafa ñuul. Mi ngi nekk ci barab bu weex tàll.
1845,Cette photo montre certainement une sorte de douche qui est très large. À l'intérieur de la douche il y a des outils que tu peux te servir après avoir fini.,"Waaw nataal bii mi ngi wane ab ab wanag lii ab wanag la, wanag bu yànji sax. Ci biir wanag bi nag am nay am na jëfandikaay yoo xam ne ngir boo jëfandikoo ba pare man nga koo jël daal."
1846,"Ceci se trouve dans les toilettes. <mask> cette chose blanche là c'est une allée de douche... c'est une allée de toilettes. C'est à travers qu'on marche pour atteindre les toilettes. Si tu veux assoupir tes besoins tu peux le faire là-bas. Il y a aussi quelque chose à côté. Ça aussi, si tu veux prendre tes abolitions, ou faire pipi, tu peux le faire là-bas.","Waa lii, ci wanag lay nekk. Ndee lu weex lii demukaayu duus la... Demukaayu wanag la. Ci la ñuy demee wanag. Boo bëggee dox aajo man nga fee dox aajo. Am nale lu nekk ci wet gi tamit. Moomit soo bëggee jàpp wala sawi man nga ko faa defee."
1847,"Ceci est une tasse qui contient du lait. C'est une tasse blanche, posée, contenant du lait.",Lii ab kaas la mi ngi def am soow. Ab kaas bu weex la bu def am soow ñu taaj ko.
1848,"Sur cette photo il y a, semble-t-il, des bancs.",Nataal bii lu mel ni ay bãŋ la.
1849,Ceux-ci sont des portes que les menuisiers métalliques ont conçues. Les portes ont été conçues et étalées pour être ensuite peintes en gris. Il semble que la porte soit en réalité deux portes de sorte à ce qu'elle ressemble à une porte de salon.,"Waaw nataal bii de ay bunt yu dóomu-taal moo ci nekk. Bunt yi ëe dafa dóoomu-taal waawaw! Am na ay lu mel ni ay fu ngelaw di jaar boo ko xëccee waaw! Mën nga, mën nga ko xëcc, bunt yi waaw. Du benn bunt nag."
1850,"Oui, sur cette photo, c'est des portes en gris qui y sont. Les portes sont, belle et bien, en gris ! Il y a quelque part où l'air passe si tu tires ! Tu peux tirer les portes si tu veux. Par contre, ce n'est pas une seule porte.","Waaw nataal bii de ay bunt yu dóomu-taal moo ci nekk. Bunt yi ëe dafa dóoomu-taal waawaw! Am na ay lu mel ni ay fu ngelaw di jaar boo ko xëccee waaw! Mën nga, mën nga ko xëcc, bunt yi waaw. Du benn bunt nag."
1851,"Sur cette photo, il y a du verre. Cependant, le verre est composé de plusieurs verres superposés. Aucun de ces verres ne ressemble à l'autre. Le verre, il y a un objet qui le tient et qui est sur le sol. Oui, un objet qui le tient.","Nataal bii de nataal la boo xam ne verre la, verre bi nag mi ngi nekk weer weer yoo xam ne dañoo tegalante, verre yi nag benn bokku ceek moroomam waaw. Verre bi am na affaire bu ko tée boo xam ne mi ngi ci suuf, waaw affaire bu ko tée."
1852,"Ce que j'ai vu c'est une pierre à feu. Je crois, assurément, que c'est une pierre entourée de ciment, de sable et d'eau !","Man de Li ma gis mooy benn lakku doj la. Yaakaar naa aw xeer ñu wërële ko ay, ay kii ay 'ciment' ak suuf ak ndox, waawaaw!"
1853,"Sur cette photo, il y a deux endroits pour s'allonger, deux lits. Sur l'un, on y a posé un oreiller et étalé un drap. Sur l'autre qui est en bas, on n'y a ni posé d'oreiller ni étalé de drap.",Nataal bii ñaari tëddukaay la ñaari lal la. Benn ba teg nañ ca njegenaay lal ca darab. Benn bi ci suuf teguñu ci njegenaay kenn laluñ ci dara.
1854,"Sur la photo que vous m'avez envoyée, j'y ai vu des nattes tissées, superposées. Si tu regardes, on les a tissées d'une très belle manière.","Nataal bii ngeen ma yónnee, gis naa ci biir nataal bi basaŋ yuñ ràbb, tegele leen. Boo xoolee, biñ leen ràbbe rafet nañ lool sax."
1855,Cela est une chaise de la rue 'la jardin public'. On la passe à ceux qui traversent. Ceux qui veulent se reposer auprès d'un fleuve peuvent venir s'asseoir et discuter.,Lii ay toogukaayu mbedd la jardin public. Ñu ngi jagleel ñii di rombu ñii bëgg a noppaleeku ci ab gox mën nañu ñëw toog fii toog waxtaan.
1856,"Cela est une photo. Je vois, dessus, deux femmes assises là-bas portant des calebasses en bois. Ce sont des calebasses en bois et des sceaux.",Waaw lii de ab nataal la boog. Maa ngi gis ñaari jigéen yu toog noonu yor ay leget yu dénk. Leget la yu dénk ak ay paan.
1857,"Cela est ce qu'on appelle 'La tour la plus haute du Sénégal'. Il s'agît du monument de la Renaissance Africaine. C'est le bâtiment sur lequel les gens ont l'habitude de se rencontrer. Il peut s'agir de ceux qui s'échauffent, de ceux qui font un concert, ou de ceux qui font de la gymnastique. Tout ce monde s'y rencontre. C'est une place publique sur laquelle tout le monde se retrouve. N'importe qui qui a un évènement qui peut s'y faire il peut aller le faire là-bas. De ce fait tout le monde y sera. Il y a des étrangers qui viennent le visiter. Le monument présente un père, une mère et leur fils. Le fils pointe le doigt quelque part. Le père a saisi la mère au niveau du bassin.","Lii na ñuy wax 'la tour la plus haute au Sénégal', mi ngi nekk 'Monument de la Renaissance Africaine'. Mi ngi nekk barab bi ñu bare di daje. Moo xam ñiy tàngal séen yaram, ñiy def i kõseer, moo xam ñiy def simnastig. Ñoom ñépp a fay daje. Palaas publig la boo xam ni bii ñoom ñépp a fay daje. Képp ku am xew-xew boo xam ni bii xaj na fa dangay ñów nga defe ko fa. Bu ko defee ñépp ñëw. Am na ci ñoo xam ni tàggat yaram moo leen fa aandi. Am na ñoo xam ni da ñuy jóge dëkk ak dëkk, ñów di ko wisite si. Monimaŋ bi, ñi ngi ko jëmale pàpp yaay ak doom. Doom jaa ngi joxoñ, baay ji téyee yaay ji ci ndigg li."
1858,"Sur la photo que j'ai reçue, il y a une sorte de Palais. Cependant le Palais comprends des gardes du corps qui le garde. En plus, il y a deux lions qui l'entourent. Le Palais ressemble au palais du Sénégal. En plus, il a des feuilles vertes et le bâtiment du palais est complètement blanche.","Nataal bii ma jot dee, Palais lay nuru waaye Palais bi nag am na ay garde corps yoo xam ne ñi ngi koy gardé, ba noppi mu am ñaari gaynde yoo xam ni ñoo ko séq. Palais bi nag paleb Senegaal lay nuru, ba noppi mu am ay xob yu wert ba noppi Palais bi bâtiment bi daa weex tàll."
1859,"Sur la photo se trouve un garçon monté sur une moto. Un garçon qui détient une moto. Il y a des personnes à son coté.  Il porte des habits bleus. Le moto comporte une couleur blanche et une couleur noire... Il y a des personnes courbées là-bas, portant des habits rouges.","Waaw nataal bi de waa ji war ab moto la. Genn góor gu yab ab moto. Am na ñu nekk ci wetam. Mu ngi sol Lu bula, moto bi am na lu weex am na lu ñuul... Am na ñu sëgg nee sol yu xonq"
1860,"Ceux-là, aussi, sont des gendarmes. Ils siègent à la gendarmerie nationale. Eux, cependant, leur travail est de garantir la protection du dirigeant du pays. On les appelles en français 'garde rouge', 'garde rapprochée', ou 'garde présidentielle'. C'est à eux qu'on confie la part de protection du dirigeant du pays.","Ñii moom tamit ay takk-der nañ. Ñi ñi ngi bàyyikoo ci sàndarmëri nasiyonaal. Ñoom nag seen njariñ mooy di aar kaaraange njiitu réew mi. Ñu leen di tudde ci tubaab 'garde rouge, garde rapprochée ou garde présidentielle'. Ñoom la ñuy dénk wàllu kaaraange njiitu réew mi."
1861,"Quatre agents de police, les deux portent leurs <mask> venant séparer les deux se battant sur le sol. Il y a le sommet d'un arbre sur le coté et un homme arrivant.","Ñenti alkaati, ñaar ñi yor seen bat ñow di àtte ñaar ñu nekk di xeex tëdd ci suuf. Mu am benn taatu garab bu nekk ca wet ga, am benn waay bu ñëw."
1862,"Ceux-là sont des femmes policières. Elles sont nombreuses, portant des armes, des gangs blancs et un chapeau. Le chapeau aussi comporte des traits blancs, au-dessus. Elles portes des habits de couleur noir, précédée d'une couleur blanche.","Lii nag ay pólisee yu jigéeñ la. Ëe bari nañu lool, ñu ràngoo ay fetal, sol ay gā yu weex, sol ay mbaxana, ëe, mbaxana mi tamit am na ay rëdd yu weex ci kaw, ak ay yére yu ñuul, jiital lu weex."
1863,"Ah c'est ce qu'on avait dit. Ce sont des policiers accompagnés de leur chef. C'est eux que l'on voit debout. Leur chef, cependant, se trouve là-bas. Il semble qu'ils doivent se mettre debout et tendre les bras; à ce qu'on voit.",Aaa mooy li ñu waxoon rekk ñii ay policiers lañ ñoo xam ni da ñu ànd ak seen seef. Ñoom la ñu gis ñu nekk taxaw nii. Seen seef bi nag moo nekk nee. Xay na nag da ñoo war a taxaw rekk coster les bras nii ci li ñu man a gis nii.
1864,"Sur cette photo ci, cependant, il y a des personnes qui sont debout et se révoltent, c'est-à-dire, qui manifestent, prenant des pierres et les lançant contre les gendarmes. Il y a, cependant, une personne devant qui ne porte pas de masque, portant des pierres et les lançant. Il porte un sous-vêtement blanc et un pantalon noir. Il a, cependant, un boubou rouge au milieu de son derrière.","Nataal bii nag, ay nit lañ yu taxaw di ñaxtu, maanaam di manifestewu, di jël ay xeer di leen sànnanteek takk-der yi. Am na nag ku nekk ci kanam nii solul maska, yor ay xeer di leen sànni. Mi ngi sol siletmaa bu weex ak tubéy ju ñuul. Mi ngi takk nag mbub lu xonq ci digg ginaaw gi."
1865,"Oui ceci, cependant, il s'agit d'un policier qui porte une arme, ayant attaché son bassin et poursuivant ce jeune qui court.","Waaw lii nag ab alkaati bu yor ngànnaayam, takk ndiggam di dàq ndaw sii di dem."
1866,"Sur cette photo datant d'il y a trente sept ans, j'y vois, semble-t-il, <mask> poisson. C'est un poisson qui a aussi des couleurs. Les couleurs aussi y'en a du bleu, du marron, du blanc, et ce qui l'entoure c'est du blanc.","Nataalu fanweer ak juróom-ñaar, maa ngi ci gis lu mel ne lu taxam taxawaayu jën. Jën la woo xam ne itam dafa am ay kulëer. Kulëer yi tamit am na bulë, am na marõ, am na weex, lu ko wër lépp lu weex la."
1867,"Ça c'est nos parents Laobés qui l'ont conçu. J'y ai vu aussi une couleur rouge et aussi une couleur bleu. Oui, c'est cela que j'y ai vu.","Lii day suñu mbokki lawbe yi ñoo koy defar. Gis naa ci itam couleur bu xonqu, gis naa ci couleur bu bula. Waaw loolu de laa ci gis."
1868,"Sur cette photo ci, il y a une calebasse. Une calebasse qui semble un peu petit. Elle a à l'intérieur des sucres de couleur très blanche. Au dessous d'elle aussi il y a d'autres morceaux de sucres qui y sont.",Nataal bii de ag leget la. Leget goo xam ne dafa xaw a ñuul tuuti. Am ca biir ay bekku suukar yu weex tàll. Ca suufam tamit am yeneen bekku suukar yu fa nekk.
1869,"Ceci est un lieu d'habitation très charmant, très splendide avec des voies, des voies à travers les quelles on passe et où il y a des bancs.","Lii ab dëkkuwaay la, dëkkuwaay taaru lool, dëkkuwaay bu taaru lool am ay yoon, yoon yu ñuy jaar di jàll, am ay baŋ."
1870,"Oui, ceci, si tu regardes tu vois un sol sur le quel on a mis du carrelage. Maintenant il y a des fleurs mises au-dessus des carreaux. En regardant derrière tu vois des arbres, oui.",Waaw lii de boo dee xool dangay gis benn peroŋ boo xam ne dañu ko karo. Léegi am na fëlëer yoo xam ne dañoo nekk ci kaw karo yi. Boo dee xool ci ginnaaw dangay gis ay garab waaw.
1871,Ça on dirait une place de prière... c'est-à-dire une mosquée. Laquelle dans la réligion islamique il existe une architecture et qu'on utilise pour construire les mosquées. C'est très jolie !,"nii nag mu mel ni benn bërëb jullikaay wala... maanaam jumaa. boo xamantane mooy wone ni ki ci Islaam sax am na benn architercture, boo xamantane, moom la ñuy sukkandi ku tabax jumaa yi, mu rafet lool!"
1872,"Cette photo ci que je vois c'est une photo sur laquelle il y a une mosquée. Une mosquée qui est très longue et remplie. En plus elle a des herbes et des arbres sur le sol. Mais la mosquée on l'a peint avec de la peinture jaune. En plus de tous ces <mask>, oui.","Nataal bii ma gis de nataal la boo xam ne jàkka la, jàkka joo xam ne jàkka ji guddu na lool ba noppi bari, ba noppi am ñax, am ay garab yu ne ca suuf. Waaye jàkka ji nag peinture bu soon lañ ko peinture. Ba noppi mu ay rajook yooyu yépp waaw."
1873,"Ceci est une maison, une maison endommagée. En le voyant tu sauras qu'elle est vieille ainsi que ses lampes et ses fenêtres.","Lii ag kër la, kër gu yàqu. Boo ko gisee xam ni dafa màgget ak làmpam yeek palanteer am yi."
1874,"Oui le parent, je vois que ceci c'est une théière, une très belle théière. Un outil sur la quelle on prépare ce plaisir là qu'on appelle le café. On y a dessiné deux arbres. On y voit encore, au-dessus, deux arbres et une gazelle.","Waaw mbokk mi lii de gis naa ni baraada la, baraada bu taaru. Jumtukaay bu ñuy defare xéewal googu ñu naan café moom la ñu ngi ci diseene ñaari garab ñu ngi wanewaat ca kaw ñaari garab ak benn kéwël."
1875,"Cette photo ci, c'est une photo sur laquelle il y a un faîte de case. Ce faîte est posé au-dessus et il contient de l'argile. C'est assurément avec de l'argile qu'on l'a conçue. En plus il a une porte faite en zinc et il y a du bois avec de l'herbe.","Nataal bii de nataal la boo xam ne néegu puj la, néegu puj bi nag dañ koo teg ci kaw waaw ba noppi mu am ay ban, ban lañ ko defare daal. Ba noppi mu am bunt boo xam ne bunt bi zinc la waaw ba noppi am ay dénk mu am ñax."
1876,"Ceci est une photo sur laquelle il y a une large et haute construction de couleur blanche. Le gymnase a d'énormes arbres qui l'entourent. Derrière elle, il y a des photos sur laquelle il y a des blancs qui semblent marcher vers nous.",Lii ab nataal la boo xam ne ab tabax bu yaatu bu kawe te weex moo ci nekk. Gimnasio gi nag am na ay garab yu mag a mag yu ci nekk yoo xam ne ñoo ko wër. Ginnaaw gi am na ay nataal yoo xam ne ay tubaab yu mel ne ñuy dox di ñëw.
1877,Sur cette photo ci il y a une assurément une chambre ; Une chambre au-dessus de laquelle il y a assurément de l'herbe. Il y a un arbre qui est juste là. Il y a aussi des herbes qui sont justes là. Il y a de très hautes montagnes qui sont là-bas. Oui de vraiment hautes montagnes mais la porte de la chambre est faite de bois de couleur rouge.,"Nataal bii de ab néeg la, ab néeg la waawaaw ; néeg boo xam ne kaw gi ñax la waawwaaw. Am na ag garab gu nekk nee waaw. Am na itam ay ñax yu nekk nee. Am na ay montaañ yu nekk nële yu kawe kawe uhun. Ay montaañ yu kawe sax waaye néeg bi moom bunt bi ëe maanaam dénk la, dénk bu xonq daal."
1878,"Cette photo ci quand je l'ai regardé j'y ai vu une chose similaire au poisson séché. Ce poisson séché, il me semble que c'est un carpe séché. Oui c'est bien celui que les femmes ont besoin de mettre dans les plats.","Nataal bii de bi ma ko xoolee gis naa ci loolu nga xam ne mooy gejje. Gejje gi nag, mi ngi may ndiroog géjje sompaat. Waawaaw, jigéen ñaa ngi koy soxla ci bu nuy togg."
1879,"Sur la photo, je vois des chambres avec des sommets pointus qu'on appelle des cases. En plus elles sont dans un lieu où il y a beaucoup d'herbes vertes et des baobabs à coté. Il y a trois chambres près d'eux.","Nataal bii de maa ngi ci gis ay néegi puj puj waaw loolu ñu naan néegi puj, ba noppi mu nekk foo xam ne am ñax mu vert la am mu bari, am garabu guy gu nekk ci wetam. Am ñetti néeg yoo xam ne ñu ci seen wet."
1880,Sur la photo que j'ai eue à voir j'y ai vu des cases qui sont dans un très bel endroit et de l'eau derrière elles. Une très jolie eau même. Il y a de très courtes herbes juste derrière elles.,"Nataal bi ma jot de gis naa ci néeg, néegu ñax boo xam ne mi ngi nekk fu taaroo taaru am ndox nekk ci ginnaawam, ndox mu rafet sax. Am ay ñax yu ndaw-ndawaan yu nekk ci ginnaawam."
1881,Sur la photo que vous m'avez envoyée j'y ai vu une vieille construction. Des arbres ont poussées à l'intérieur de la construction. La construction est vraiment très vieille.,"Nataal bii ngeen ma yónnee gis naa ci biir nataal bi tabax bu màggat lool, am garab gu sax ca biir tabax ba. Tabax bi nag bu màggat a màggat la."
1882,Sur cette photo j'y ai vu une case qui se trouve dans une belle forêt contenant des herbes et des arbres.,Nataal bii gis naa ci ab néegu ñax bu nekk cib àll bu naat bu am ay ñax ak ay garab.
1883,J'ai vu à l'intérieur de la photo des ustensiles de cuisines blancs posées sur des tables en bois. Des ustensiles en bois et une plante à coté.,"Nataal bii gis naa ci biir nataal bi ay toogukaay yu weex yu nekk ak ay taabalu dénk, ay toogukaay yoo xam ne dénk lañ ko liggéeye benn gàñcax ci wet gi."
1884,Sur cette photo il y a une chose enroulée avec des bâtons qui semble être une chambre à coté d'un arbre en abondance. Il y a aussi autre chose qui ressemble à un ustensile de cuisine dans lequel on a mis des bâtons et il y a des herbes à coté.,Nataal bii nag am na benn lu ñu wërële ay bant mu mel ni néeg nekk ci wetu garab gu sëq. Am tamit beneen lu mel ni toogukaay lu ñu def ay bant am ay ñax yu nekk ci koteem.
1885,"Sur cette photo ci, on dirait des autochtones ou des migrateurs. Les migrateurs sont ceux qui vont jusqu'à la forêt, où personne n'habite, pour y assaillir leurs tentes, y déposer leurs élevages et y habiter. À leur réveil ils assaillissent leur élevage. À la descente, ils s'assoupissent dans leurs tentes. Les tentes sont tout de même très jolies.","Nataal bii nag dafa mel ne ëe dëkkub àll la walla ay màngaan. Màngaan yi mooy ñi nga xamante ni dañuy dem ba ci àll bi fu kenn dëkkul ñu samp fa seeni xayma, teg fa seeni jur, dëkk fa. Bu ñu xëyee sàmmi seeni jur, sunu wàccee ñëw tëdd ci seeni xayma. Xayma gi nag rafet na lool."
1886,"Ceci est une forêt habitée. Il y a beaucoup d'arbres ici. Il y a un lit ici même. Il y a une sorte de tente là-bas. Il y a beaucoup d'arbres qui l'entourent. Ici, assurément, c'est une forêt.","Waaw lii de ab àll la, àll bi dañ koo xayma, am na ay garab yu bari yu fi nekk. Am na ab lal bu nekk fii nii. Am na ag xayma gu nekk nale. Am na ay garab yu ko wër yu bari. Fii de moom ab àll la moom."
