french_corpus,wolof_corpus
"Une anecdote, une simple anecdote. D'où vient que j'en garde la marque, comme si les morsures des fourmis guerrières étaient encore sensibles, que tout cela s'était passé hier ?","Gone gu ay mellentaan màtt, ban solo la am ? Amul benn solo. Moonte maa ngi wéy di ko nettali tey, di yëgaat metit wi, mu mel ni bërkidémboonjaay rekk la ma dal."
"Sans doute est-ce mêlé de légende, de rêve.",Ñàkkul gént ak janeer rax ci mbir mi.
"Avant ma naissance, raconte ma mère, elle voyage à cheval dans l'ouest du Cameroun, où mon père est médecin itinérant. La nuit, ils campent dans des « cases de passage », de simples huttes de branches et de palmes au bord du chemin, où ils accrochent leurs hamacs. Un soir, les porteurs sont venus les réveiller. Ils portent des torches enflammées, ils parlent à voix basse, ils pressent mon père et ma mère de se lever.","Laata may juddu, Baay da daan war fas, di wër sowu jantu Kamerun, dëkkoo-dëkk mu taxaw fa, ku feebar mu faj la. Benn guddi, yenukat yi ñëw ak seeni làmp yee leen."
"Quand ma mère raconte cela, elle dit que ce qui l'a d'abord alarmée, c'est le silence, partout, alentour, dans la forêt, et les chuchotements des porteurs.","Saa yu sama yaay daan nettali xew-xewi guddi googu, fàww mu yéemuwaat ca tekk-tekkaaral ga. Su weesoo yenukat yi doon ŋun-ŋuni, benn kàddu jibul. Loolu biral ni lu réy a ngi woon ci yoon wiy ñëw."
"Dès qu'elle est debout, elle voit, à la lumière des torches : une colonne de fourmis (ces mêmes fourmis rouges encadrées de guerrières) qui est sortie de la forêt et qui commence à traverser la case.","Sama yaay dafa tëb ci lal bi, janook naaxi mellentaan yu xonq ak yu ñuul. Ñu nga bawoo woon ci àll bi, tàmbalee xuus nag, war a jaar ci néeg bi."
"Une colonne, plutôt un fleuve épais, qui avance lentement, sans s'arrêter, sans se soucier des obstacles, droit devant, chaque fourmi soudée à l'autre, dévorant, brisant tout sur son passage.","Li ma tudde naax, daanaka dexu mellentaan la woon. Yàkkamtiwuñu, de. Ñu ngay dox ndànk, du dara lu leen mën a tee wéy di dem. Bu ci nekk a ngi sës ca moroom ma, ñu topp seen yoon rekk, gumba, tëx. Ñu ngay ŋeeñ it, lu ñu romb rajaxewaale ko."
"Mon père et ma mère ont juste le temps de rassembler leurs affaires, vêtements, sacs de vivres et de médicaments.","Baay ak sama yaay daldi gaawtu roñ seeni yéreek lépp lañu waroon a rawale, abal leen."
"L'instant d'après, le fleuve sombre coule à travers la case.","Ci la dex gu ñuul gi, dexug mellentaan yi, tàmbalee wal ci diggu néeg bi."
"Cette histoire, combien de fois ai-je entendu ma mère la raconter ?","Xew-xew boobu, ñaata yoon laa dégg sama yaay di ko nettali ? Du benn, du ñaar."
"Au point de croire que cela m'était arrivé, de mêler le fleuve dévorant au tourbillon de fourmis qui m'avait assailli. Le mouvement de giration des insectes autour de moi ne me quitte pas, et je reste figé dans un rêve, j'écoute le silence, un silence aigu, strident, plus effrayant qu'aucun bruit au monde.","Dama mujjee dem ba yaakaar ne man mii maa dund loolu ci dëgg-dëgg, mu jaxasoo ci sama xel ak bés ba may mellentaan singalee ca Ogosaa. Ñu ngi ma wër-ndomb, di dem ak a dikk. Man ma taxaw ne yàcc, di xullee. Waaye it maa ngi may nopp tekk-tekkaaral gi. Dafa sew, leew, gën a raglu mbooleem riiri dunyaa yépp."
Le silence des fourmis.,Tekkug mellentaan yi.
"À Ogoja, les insectes étaient partout.",Xeetu gunóor wu waay mën a xalaat a nga woon Ogosaa.
"Insectes de jour, insectes de nuit. Ceux qui répugnent aux adultes n'ont pas le même effet sur les enfants.",Ay gunóori bëccëg ak i gunóori guddi te mag ñi di leen gën a séexlu xale yi.
"Je n'ai pas besoin de faire de grands efforts d'imagination pour voir surgir à nouveau, chaque nuit, les armées de cafards – les cancrelats, comme les appelait mon grand-père, sujets d'une sirandane : kankarla, nabit napas kilot, il porte un habit, mais n'a pas de culotte.","Guddi gu Yàlla sàkk, naaxi mbóot laa daan gis ci kër gi. Ca Tugal, sama maam ju góor a nga leen daan woowe ‘kànkarlaa', di dem ba ciy jukkiy cax, di woy ci kàllaama kerewol kànkarla, nabit nàppaa kilot, « mbóot sol na yére waaye teewu koo def taatu neen »."
"Ils sortaient des fissures du sol, des lattes de bois du plafond, ils galopaient du côté de la cuisine.","Mbóot yi dañu daan génne fu nekk, di kurti-kurti ci wetu waañ wi."
Mon père les détestait.,Ñoom rekk la Baay bañoon.
"Chaque nuit, il parcourait la maison, sa torche électrique d'une main, sa savate dans l'autre, pour une chasse vaine et sans fin.","Daawul tëri te wërul kër geek làmpu torsam di leen rëbb, bu mu ci gis rey laak dàllu caraxam. Teewul ñu doon gën a bare ci kër gi ngoon gu jot."
"Il était persuadé que les cafards étaient à l'origine de beaucoup de maladies, y compris du cancer.","Ci gis-gisu Baay, feebar yu bare ci mbóot yi lañ doon jóge, ba ci sax kañseer."
"Je me souviens de l'entendre dire : « Brossez bien les ongles des pieds, sinon les cancrelats viendront les ronger dans la nuit ! » Pour nous, enfants, c'étaient des insectes comme les autres.","Tàmmoon na di nu naan : « Fompleen bu baax seeni wewi tànk, lu ko moy mbóot yi danañ ñëw ŋeeñ leen bu guddee ! » Loolu, ay waxi mag kese la woon ci nn."
"Nous leur faisions la chasse et nous les capturions, sans doute pour les relâcher du côté de la chambre des parents.","Nun xale yi, mbóot ak yeneen gunóor yi lañuy yemale woon. Dañ leen daan rëbb, suñ leen jàppee sànni leen sama wetu néegu yaay."
"Ils étaient gras, d'un brun rougeâtre, très luisants. Ils volaient lourdement.","Ay mbóot yu duuf sax, ba noppi tikk ba mel ni lu xonq, di nes-nesi, xaw a tëlee naaw."
Nous avions découvert d'autres compagnons de jeu : les scorpions.,"Ogosaa, xaritoo woon nan faak yeneen gunóor : jiit yi."
"Moins nombreux que les cafards, mais nous avions notre réserve.","Bariwuñu woon ni mbóot yi, wànte xamoon nanu fan lañ doon làqatu."
"Mon père, qui redoutait notre turbulence, avait installé sous la varangue, du côté le plus éloigné de sa chambre, deux trapèzes faits de bouts de corde et de vieux manches d'outils.","Baay dafa nu defaraloon benn fowukaay bu tudd « taraapees », ngir nu bañ koo sonal."
"Nous utilisions les trapèzes pour un exercice particulier : suspendus par les jambes et la tête en bas, nous relevions délicatement la natte de paille que mon père avait mise pour amortir une éventuelle chute, et nous regardions les scorpions se figer dans une posture défensive, les pinces dressées et leur queue pointant son dard.","Ca lanu daan toog, yëkkati ndànk basaŋ gi ngir bett jiit ya fa daan nëbbëtook seen keppukaay ak seen geen gu ñaw ni dég."
"Les scorpions qui vivaient sous le tapis étaient généralement petits, noirs, probablement inoffensifs.","Ay jiit yu tuuti lañu woon te ñuul, mu leer nu ne amuñu daŋar."
"Mais de temps à autre, le matin, ils avaient été remplacés par un spécimen plus grand, de couleur blanche tirant sur le jaune, et nous savions instinctivement que cette variété pouvait être venimeuse.","Waaye léeg-léeg yeneeni jiit yu gën a réy wuutu leen. Boo leen giseek seen weexaay bu xëcc ci puur, njort ni ñii moom war nañoo am daŋar."
"Le jeu consistait, du haut du trapèze, à taquiner ces animaux avec un brin d'herbe ou une brindille, et à les regarder tourner, comme aimantés, autour de la main qui les agressait.","Sunu po mi, nii la daan tëdde : ci kow « taraapees » bi lanuy toog di cokkaas jiit yeek bantu bale, di seet ba xam dinañ jam bale bi."
Ils ne piquaient jamais l'instrument. Leurs yeux endurcis savaient faire la différence entre l'objet et la main qui le tenait.,Wànte seen bët yi ne woon xóll daawuñu jaawaatle mukk jumtukaay beek loxo bi ko téye.
"Pour corser l'affaire il fallait donc, de temps en temps, lâcher la brindille et avancer la main, puis la retirer prestement au moment où la queue du scorpion fouettait.","Ngir gën a jafeel mbir mi, dañu daan bàyyi léeg-léeg bantu bale bi, tàllal leen benn baaraam, su jiit ji tàmbalee yëngal geen gi nu gaawtu delloosi sunu loxo."
J'ai du mal aujourd'hui à me souvenir des sentiments qui nous animaient.,Dina ma jafe tey ma wax lu nu doon tax a def loolu.
"Il me semble qu'il y avait dans ce rituel du trapèze et du scorpion quelque chose de respectueux, un respect évidemment inspiré par la crainte.","Xéy-na dan leen doon ormaal, worma juy biral ni nu leen ragale woon."
"Comme les fourmis, les scorpions étaient les vrais habitants de ce lieu, nous ne pouvions être que des locataires indésirables et inévitables, destinés à nous en aller.","Mellentaan yeek jiit yee moomoon kër gi, nun nu fay ay doxandéem doŋŋ. Xamuñu woon nuñ nuy def waaye it leeroon na leen ni, lu mu yàgg-yàgg, dinan leen mas a abali."
"Des colons, en somme.","Ci gàttal, danu leen a jaay doole, ñëw ba ci seen biir kër sanc fa."
"Les scorpions furent un jour au centre d'une scène dramatique, dont le souvenir fait encore battre mon cœur aujourd'hui.","Jiit yi may wax nag, am na ci benn boo xam ne lu doy waar, lu kéemaane, dal na ko bés, ndeysaan. Li ma koy a waaj a nettali nii rekk sax mu ngi yëngal samag naw, may yëg xaat tiis wu réy. Bésub dibéer la woon, ci suba."
"Mon père (ce devait être un dimanche matin, car il était à la maison) avait découvert dans un placard un scorpion de la variété blanche.","Baay gis jiit ju xaw a weex ji, te dijj, doonoon bi am daŋar."
"En fait, une femelle scorpion, qui transportait sa progéniture sur son dos.","Jiit ju jigéen la woon, ndax mu ngi bootoon njabootam."
Mon père aurait pu l'aplatir d'un coup de sa fameuse savate.,"Baay manoon na koo nappaaje ak dàllam, na mu ko tàmme woon def."
"Il ne l'a pas fait. Il est allé chercher dans sa pharmacie un flacon d'alcool à 90°, il en a aspergé le scorpion et a gratté une allumette.","Waaye bii yoon dafa wis alkol ci kow jiit ji, xosi almet sànni."
"Pour une raison que j'ignore, le feu a d'abord pris autour de l'animal, en formant un cercle de flammes bleues, et la femelle scorpion s'est arrêtée dans une posture tragique, les pinces levées au ciel, son corps bandé dressant au-dessus de ses enfants son crochet à venin au bout de sa glande, parfaitement visible.","Gunóor gi tàkkul ci saa si ndax ni ko safara si wëre. Mu des ci géew bi, xamatul nu muy def ak doom yi mu boot. Xanaa rekk taxaw, yëkkatiy keppukaayam ca kow, di xaar."
"Une deuxième giclée d'alcool l'a d'un seul coup embrasée. L'affaire n'a pas pu durer plus de quelques secondes, et pourtant j'ai l'impression d'être resté longtemps à regarder sa mort. La femelle scorpion a tourné plusieurs fois sur elle-même, sa queue agitée d'un spasme. Ses petits étaient déjà morts et tombaient de son dos, recroquevillés. Puis elle s'est immobilisée, ses pinces repliées sur sa poitrine dans un geste de résignation, et les hautes flammes se sont éteintes.","Noonu, Baay sottiwaat leen alkol, ñu tàkk jëppét, mook doom yi. Mbir mee gënoon a gaaw xef ak xippi. Ndaxam meloon na ni toogoon naa lu yàgg janook jiit ji muy tàkk, di wëndéelu ba sedd guyy."
"Chaque nuit, dans une sorte de revanche du monde animal, la case était envahie par des myriades d'insectes volants.","Bala nu gunóor yi daan léjal dëgg, guddi jot, ba ñu taal làmp yi. Dañoo meloon ni ñuy defanteek nun. Ay naaxi-naaxi gunóor a doon song néeg bi."
"Certains soirs, avant la pluie, ils étaient une armée.",Su xiinaan bay waaj a taw lañ daan gën a ràkkaaju.
"Mon père fermait les portes et les volets (il n'y avait pas de carreaux aux rares fenêtres), dépliait les moustiquaires au-dessus des lits et des hamacs.","Baay daf daan tëj bunt yeek palanteer yi, defar sànke yi, wànte daanaka bëre nen ak doj la woon."
C'était une guerre perdue d'avance.,Kenn mënul woon dara ci gunóor yi.
"Dans la salle à manger, nous nous dépêchions de manger la soupe d'arachide, pour pouvoir gagner l'abri des moustiquaires.","Nun, danu daan patam-patamee sunu reer ngir mën gaaw a daw dugg ci biir sànke ya."
"Les insectes arrivaient par vagues, on les entendait s'écorcher sur les volets, attirés par la lumière de la lampe à pétrole. Ils passaient par les interstices des volets, sous les portes.","Waaye dara. Kenn xamul na ñu tollu, ñu ngay dal ci palanteer yi, làmpu petorool bi di leen xëcc, ñuy jaar ci xarante palanteer yi."
"Ils tourbillonnaient follement dans la salle, autour de la lampe, se brûlaient contre le verre.","Su ñu duggaan ci saal bi, dañ fay ne di wëndéelu bay miir, ba far lakk ci weer bi."
"Aux murs, là où la lumière se reflétait, les margouillats lançaient leurs petits cris chaque fois qu'ils avalaient une proie.","Sindax yaa nga ni noŋŋ ci kow miir yi, saa yu ňu wannee gunóor daldi sab."
"Je ne sais pourquoi, il me semble qu'à aucun autre endroit je n'ai ressenti cette impression de famille, de faire partie d'une cellule. Après les journées brûlantes, à courir dans la savane, après l'orage et les éclairs, cette salle étouffante devenait pareille à la cabine d'un bateau fermée contre la nuit, tandis qu'au-dehors se déchaînait le monde des insectes. Là j'étais vraiment à l'abri, comme à l'intérieur d'une grotte.","Guddi yu ni mel, dañ ma doon xalaatloo ni maak samay way-jur danoo war a doon benn, jàppoo. Bu weesoo jamono jooju, du benn yoon bu ma yëgaatee noonu ni noo bokk deret, bokk xeet. Xanaa li nu doon téju ci saal bi su ngoon jotee, di dal-lu ci tés-tés ju metti ja nu daan yendoo ci naaj wu tàng wi, moo juroon xalaat yooyu. Ci dëgg-dëgg, saal bi dootul xottu néeg, xunt la may gën a jox, nun ñépp nu làqu ci biir."
"L'odeur de la soupe d'arachide, du foufou, du pain de manioc, la voix de mon père avec son accent chantant, en train de raconter les anecdotes de sa journée à l'hôpital, et le sentiment du danger au-dehors, l'armée invisible des papillons de nuit qui frappait les volets, les margouillats excités, la nuit chaude, tendue, non pas une nuit de repos et d'abandon comme autrefois, mais une nuit fiévreuse, harassante.","Ñam yiy xeeñ – soosu gerte, fufu, mburu walla ňàmbi. Nuy déglu Baay muy nettali na mu yendoo. Lëppaa-lëppi guddi yeek yeneen gunóor yaa ngiy wéy di dal, sindax yi gënatee ràŋŋatiku, biti bi raglu ba nga ni lii lu mu doon. Guddi gii kay, ak tàngaayam bu tar, du guddig féexlu. Wute na lool ak sunuy guddiy bàyyeeku Tugal ya. Fii, coonook fitna rekk a fi am."
"Et le goût de la quinine dans la bouche, cette pilule extraordinairement petite et amère qu'il fallait avaler avec un verre d'eau tiède puisée au filtre avant d'aller se coucher, pour prévenir la malaria.","Mayleen ma, ma sóorale ci nettali bi doomi niwaakin yu tuuti ya te wex xàtt. Du bés bu nu mas a tëri te ku nekk ci nun jëlu ci benn, ngir aar sibbiru si."
"Oui, je crois que je n'ai jamais connu de tels moments d'intimité, un tel mélange de rituel et de familier.","Ma koy fàttaliku, aada ak miineel daldi joxante loxo ci saa si. Waaw, gëm naa ne masumaa yëg lu ni mel ci sama xol."
"Si loin de la salle à manger de ma grand-mère, du luxe rassurant des vieux fauteuils de cuir, des conversations endormissantes et de la soupière fumante, décorée d'une guirlande de houx, dans la nuit calme et lointaine de la ville.","Sama kër maam ju jigéen sore woon na fa, walla ! Kër gu set wecc, ak i jekk-jekkalam, ay toogu yu màgget, ñépp di ŋun-ŋuni, waxtaan wi géey lool, sax. Guddig Tugal, ne tekk-tekkaaral ci biir xolub dëkku-taax bu réer ci jaww ji."
"Mon père est arrivé en Afrique en 1928, après deux années passées en Guyane anglaise comme médecin itinérant sur les fleuves.",Ci atum 1928 la Baay jëkk a teg tànk Afrig. Fekk na booba mu def ñaari at ci Guwiyaan bi ci moomeelu Àngalteer.
"Il en est reparti au début des années cinquante, lorsque l'armée a jugé qu'il avait dépassé l'âge de la retraite et qu'il ne pouvait plus servir.","Ndoorteelu atum 1950 la ko làrme bi yewwi, mu noppalu liggéey, jóge Afrig."
"Plus de vingt ans durant lesquels il a vécu en brousse (un mot qu'on disait alors, qu'on ne dit plus aujourd'hui), seul médecin sur des territoires grands comme des pays entiers, où il avait la charge de la santé de milliers de gens.","Kon, dund na lu ëpp ňaar-fukki at ci àll bi. « Àll bi » : ñaari baat yu fi siiwoon te tey ñépp ragal leen a jëfandikoo. Moom kenn a doon doktoor ci ay diiwaan yu yaatoo niy réewi lëmm, war faa faj ay junniy-junni nit."
"L'homme que j'ai rencontré en 1948, l'année de mes huit ans, était usé, vieilli prématurément par le climat équatorial, devenu irritable à cause de la théophylline qu'il prenait pour lutter contre ses crises d'asthme, rendu amer par la solitude, d'avoir vécu toutes les années de guerre coupé du monde, sans nouvelles de sa famille, dans l'impossibilité de quitter son poste pour aller au secours de sa femme et de ses enfants, ou même de leur envoyer de l'argent.","Atum 1948 lanu gisantewaat. Awma woon lu dul juróom-ñetti at. Teewul ma gis ci saa si ni mu sonnee, àddina soof ko, teel koo màggetloo. Ginnaaw dafa amoon aasma, da daan jël téwófilin, garab googu tax koo gënatee naqadi deret. Saa yu xelam demaan ci at yi ko Ñaareelu Xare Réewi Tubaab yi teqaleek njabootam, da doon gën a xund, mere ku ko deful dara. Juróomi at yu mu mënul a génn Afrig, dem wallu soxnaam ak seen ñaari doom. Mënuleen woon sax yónnee xaalis."
"La plus grande preuve d'amour qu'il a donnée aux siens, c'est lorsqu'en pleine guerre, il traverse le désert jusqu'en Algérie, pour tenter de rejoindre sa femme et ses enfants et les ramener à l'abri en Afrique.","Liy firndeel cofeel gu réy gi mu amoon ci doom yeek jabar ji, moo di ne bés dafa ni fàww mu fekki leen Tugal, indi leen Afrig, ñu mucc ci Xare bi. Mujjewul a àntu waaye lu mu bon bon jéem na."
Il est arrêté avant d'atteindre Alger et il doit retourner au Nigeria.,"Jot naa jàll màndiŋ mi ba àgg Alseri, ñu téye ko fa, ñàkk pexe tax koo dellu Niseryaa."
Ce n'est qu'à la fin de la guerre qu'il pourra revoir sa femme et faire la connaissance de ses enfants au cours d'une brève visite dont je ne garde aucun souvenir.,"Ci ginnaaw gi la door a gisaat jabar ji, xaw a miinal boppam doom yi. Ngan gu gàtt googu, dara laa ci fàttalikuwul."
"De longues années d'éloignement et de silence, pendant lesquelles il a continué d'exercer son métier de médecin dans l'urgence, sans médicaments, sans matériel, tandis que partout dans le monde les gens s'entre-tuaient – cela devait être plus que difficile, cela devait être insoutenable, désespérant.","Lu yàgg déggu ñu, déggunu ko, muy wéy di liggéey Afrig ci anam yu jafe. Lépp jamp, garab ak jumtukaay nàkk, xare bu metti rëbloo dunyaa, reyante bi ne kurr. Loolu yombutoon a dékku, yaakaar ju tas xajoon na ci."
Il n'en a jamais parlé.,Moonte Baay masul a ŋaaŋ wax ci.
Il n'a jamais laissé entendre qu'il y ait eu dans son expérience quoi que ce soit d'exceptionnel.,Du woon nit kuy fëgg dënnam di bàkku. Déedéet.
"Tout ce que j'ai pu savoir de cette période, c'est ce que ma mère a raconté, ou qu'elle a livré parfois dans un soupir : « Ces années de guerre loin l'un de l'autre, c'était dur…» Encore ne parlait-elle pas d'elle-même.","Sunu yaay daal moo daan sànni léeg-léeg ci waxtaan wi kàddu yu mel ni : « Wax dëgg Yàlla, li nu mënatul woon a gise ndax xare bi, metti woon na…» Te sax, du boppam a ko taxoon di wax."
"Elle voulait dire l'angoisse d'être prise au piège de la guerre, pour une femme seule et sans ressources avec deux enfants en bas âge.","Dafa doon jéem a wone rekk ni jamono ju jafe woon la ci jigéen ñépp, rawati-na ci moom mi yoroon ňaari tuut-tànk te amul lu mu leen dundale."
"J'imagine que, pour beaucoup de femmes en France, cela a dû être difficile, avec un mari prisonnier en Allemagne, ou disparu sans laisser de traces. Sans doute pour cela cette époque terrible m'a-t-elle paru normale. Les hommes n'étaient pas là, il n'y avait autour de moi que des femmes et des gens très âgés.","Jigéen ñu bare, Almaŋ yee jàppoon seen jëkkër tëj ; amoon na it ci boroom-kër yooyu ñu kenn xamul ndax ñu ngi dund ba tey am déet. Ak nu mu mënoon a deme, lii moom wóor na : bi góor ñi demee xareji, ay jigéen ak i màgget ñoo ma wër. Ba tax ak li xare biy metti yépp, yëguma ci dara."
"Ce n'est que longtemps après, quand l'égoïsme naturel aux enfants s'est estompé, que j'ai compris : ma mère, en vivant loin de mon père, avait pratiqué du fait de la guerre un héroïsme sans emphase, non par inconscience ni par résignation (même si la foi religieuse avait pu lui être d'un grand secours), mais par la force que faisait naître en elle une telle inhumanité.","Teg nañ ciy ati-at ma door a jëli ni jigéen, ni góor di wonee njàmbaar ci toolu-xare, la mën a toog biir këram moom tamit, wone fa njàmbaar gu ni tollu. Ni sama yaay daan doxalee ci geer bi, firnde la ci."
"Était-ce la guerre, cet interminable silence, qui avait fait de mon père cet homme pessimiste et ombrageux, autoritaire, que nous avons appris à craindre plutôt qu'à aimer ? Était-ce l'Afrique ?","Mbaa du li dunyaa ni woon tekk ci xare bee soppi woon Baay ba tax mu jàpp njàmburam, bëgg ku mu yilif, naqadee dëkkal ? Walla boog Afrig a ko mujjee mel-loo noonu ?"
"Alors, quelle Afrique ?","Gan Afrig, boog ? Xam."
"Certainement pas celle qu'on perçoit aujourd'hui, dans la littérature ou dans le cinéma, bruyante, désordonnée, juvénile, familière, avec ses villages où règnent les matrones, les conteurs, où s'exprime à chaque instant la volonté admirable de survivre dans des conditions qui paraîtraient insurmontables aux habitants des régions plus favorisées.","Li ma wóor, daal, moo di ne du Afrig gii bindkat yeek defarkati film yiy wone, xumb, takkarnaase, te ndóol bu jéggi dayo terewul nit ñiy wéy di dàq seen bànneex subaak ngoon."
"Cette Afrique-là existait déjà avant la guerre, sans aucun doute.","Loolu, leer na ci xelu ñépp. Leer nàññ sax, la def. Laata geer biy kalaate, noonu la Afrig meloon."
"J'imagine Douala, Port Harcourt, les rues encombrées de voitures, les marchés où courent les enfants luisant de sueur, les groupes de femmes parlant à l'ombre des arbres.","Ku yabu seet ko ci dëkk yu mel ni Poor-Arkuur mbaa Duwaalaa : woto yu bare yiy rombante ci tali bi, xale yiy dóor-dàqe ci biir màrse yi, ñaq tooy xepp ak jeeg jiy féexlu ci keppaaru garab yi."
"Les grandes villes, Onitsha et son marché aux romans populaires, la rumeur des bateaux poussant les grumes sur le grand fleuve. Lagos, Ibadan, Cotonou, le mélange des genres, des peuples, des langues, le côté drolatique, caricatural de la société coloniale, les hommes d'affaires en complets et chapeaux, parapluies noirs impeccablement roulés, les salons surchauffés où s'éventent les Anglaises en robes décolletées, les terrasses des clubs où les agents de la Lloyd's, de la Glynn Mills, de la Barclay's fument leurs cigares en échangeant des mots sur le temps qu'il fait – old chap, this is a tough country – et les domestiques en habit et gants blancs qui circulent en silence en portant les cocktails sur des plateaux d'argent.","Legoos, Ibadaŋ ak Kótónu, naka noonu. Askan yeek làkk yi jaxasoo. Mënoon naa sax limaale Onitsaa ak màrseem ba nga xam ni daanaka téereb nettali bu la réer ci dunyaa soo fa demee ñu jaay la ko. Te ci xeet yooyu ma tudd, Àngale yi kenn demul ñu des. Ni ñu yëge seen bopp, di jaay maanaa, mu méngook seen colin, dafa rekk reelu. Foo séenee ay kompalet ak i sàppo, dóoral yat, ñoom a. Seeni jigéen, ñoom, ñu nga leen doon xàmmee seeni yére yu tegginewul woon lool. Ñoom ñépp nag, Àngale yooyu, di daje ci seeni màkkaani bopp, di wax ay waxi picc. Fàww ñu ràññee ci gaa ñooñu liggéeykati Lloyd's ya mbaa yu Glynn Mills ak Barclay's. Foo leen fekk ñu ngay xëcc ci seeni sigaar, lu ñor ñu wax, lu ñorul ñu wax, di jëw ak déeyante. Léeg-léeg kenn ci ñoom ni : « Mbër, neexul ba neexul waaye dëkk bii du dëkku como, de ! » Bóoy yi ñoom, ñu ngiy jaabanteek ay ndab yu ñu teg i kaasi sàngara, ku ne ñu ni la ko jabb te du benn yoon booy dégg seen baat."
"Mon père m'a raconté un jour comment il avait décidé de partir au bout du monde, quand il a eu terminé ses études de médecine à l'hôpital Saint Joseph d'Elephant & Castle, à Londres. Étant boursier du gouvernement, il devait effectuer un travail pour la communauté.","Baay mas na maa nettali naka la xéye bés laxas, wuti dëkk bu soree-sori. Ginnaaw gornmaa bee ko jàppale woon ba muy jàng ca benn loppitaanu Londar, dafa waroon a delloo askanu Àngalteer njukkal, liggéeyal ko ab diir."
Il fut donc affecté au département des maladies tropicales à l'hôpital de Southampton.,"Ñu jël ko ca loppitaanu Saawusamton, mu war fay faj ña feebari Afrig yi dal."
"Il prend le train, débarque à Southampton, s'installe dans une pension. Son service ne débutant que trois jours plus tard, il flâne en ville, va voir les navires en partance.","Saxaar wàcce ko fa, ñu ni ko mu xaar ñetti fan door a tàmbalee liggéey."
"À son retour à la pension, une lettre l'attend, un mot très sec du chef de l'hôpital disant : « Monsieur, je n'ai pas encore reçu votre carte de visite. » Mon père fait donc imprimer les fameuses cartes (j'en ai encore un exemplaire), juste son nom, sans adresse, sans titre. Et il demande son affectation au ministère des Colonies.","Bés, mu dem doxantu ci tàkkal-dex gi ba delsi, fekk këram benn bataaxal. Muy kàddu yu gàtt, te tukkee ci kilifag loppitaan bi : “Góor gi, jotaguma ba tey sab kàrt de wisit.” Laata mu fay dem, Baay móol-lu na, gaa, ab kàrt – maa ngi ceek benn ba tey – wànte turam doŋŋ a ca nekkoon, bindu ci woon fa mu dëkk astemaak li muy liggéey. Ñàkk tegginu direkteer bi merloo ko, mu daldi ñaan ci saa si ñu yóbbu ko feneen."
"Quelques jours plus tard, il s'embarque à destination de Georgetown, en Guyane.","Ñu teg ciy fan, mu dugg gaal, teeri Sorstaawun, ca Guwiyaan."
"Sauf pour deux brefs congés, il ne reviendra plus en Europe jusqu'à la fin de sa vie active.","Ba ni muy demee alaateret, ñaari yoon la delsi Tugal."
"J'ai essayé d'imaginer ce qu'aurait pu être sa vie (donc la mienne) si, au lieu de fuir, il avait accepté l'autorité du chef de clinique de Southampton, s'était installé comme médecin de campagne dans la banlieue londonienne (ainsi que mon grand-père l'avait fait dans la banlieue parisienne), à Richmond, par exemple, ou même en Écosse (un pays qu'il avait toujours aimé). Je ne veux pas parler des changements que cela aurait procurés à ses enfants (car naître ici ou là n'a pas dans le fond une importance considérable).","Waaw, su Baay merul woon, gedd Saawusamton, naka la sunu dundin deme kon ? Dëgg la, lu bari doon na ci soppiku. Wànte buñ ko seetee bu baax juddoo fii walla faa amul solo. Li jar a laajte kay, mooy lii : Baay ci boppam, kan la doon kon ? Nekk doktoor, di liggéeye Rismond mbaa sax Ekos – réew mu mu masoon a sopp, nag – di faj ay nit ñu soj mbaa ñu seere wute naak dëkke faj i gaana ci Afrig."
"Mais ce que cela aurait changé en l'homme qu'il était, qui aurait mené une vie plus conforme, moins solitaire. De soigner des enrhumés et des constipés, plutôt que des lépreux, des impaludés ou des victimes d'encéphalite léthargique. D'apprendre à échanger, non sur le mode exceptionnel, par gestes, par interprète, ou dans cette langue élémentaire qu'était le pidgin English (rien à voir avec le créole de Maurice raffiné et spirituel), mais dans la vie de tous les jours, avec ces gens pleins d'une banalité qui vous rend proche, qui vous intègre à une ville, à un quartier, à une communauté.","Coppite gi may njort doon na àgg ba ci waxinam ak ni muy jokkook ñeneen ñi. Làpptoo ko naroon a jàppale, xam naa, walla muy làkk « pijinu » àngale – bi jotewul daraak kerewolu dunu Móris bu sell ba te yiw. Ci gàttal, benn kàddu mën naa tënk li may bëgg wax, te mooy : maasaloo. Su Baay toogoon Tugal, du xéy ba dégg lu mu masul a dégg. Te it képp ku mu faj, dina jàpp ne mook moom benn lañu, bokk waaso. Maasaloo. Walla sax seey ?"
"Il avait choisi autre chose. Par orgueil sans doute, pour fuir la médiocrité de la société anglaise, par goût de l'aventure aussi. Et cette autre chose n'était pas gratuite.","Deful loolu. Moom kay, la gën a jafe la taamu. Te dara dugalu ko ci woon lu dul yëg boppam ak ñeme lu metti."
"Cela vous plongeait dans un autre monde, vous emportait vers une autre vie. Cela vous exilait au moment de la guerre, vous faisait perdre votre femme et vos enfants, vous rendait, d'une certaine façon, inéluctablement étranger.","Mu jaral ko lu ne nag, ba ci gàddaay dem fu sori, xare bi kalaate mu bàyyi njabootam Tugal, dëkk béréb bu mu xamul kenn, kenn xamu ko fa, saa yu rombee nit kooku naan ci xelam : « Moo, doxandéem bii, lan la fiy def ? »"
