wolof,french
Yan ñoo yeksi ?,Lesquels sont arrivés ?
"Yaakaaroon na ni, mag ñi du ñu ci agg foofu te it xale yi nekkunu fi woon.",Il espérait que les gens d'âge n'en seraient pas arrivés là et aussi que les enfants étaient absents.
Dem naa...,Je pars...
Góor gii di wax,L'homme qui parle
Yaw mile mi fii !,À toi qui es-là !
Sa yay nee dana dellusi soo yeggee.,Ta mère dit qu'elle reviendra si tu vas jusqu'au bout.
reewande,impolitesse
"Ci Pël yi ag ci Séeréer si, ag ci Ñomiõka yi.","Chez les Peul, les Sérère, et les Niominka."
Am na am xar.,Il a un mouton.
Nit bonul !,Homme n'est pas mauvais !
tammal,habituer
safaay,l'acidité
daõõ-daõõ,fracas
daaw,année dernière
yooyu,auxquels
Ma seetal la lan ?,Je veille sur quoi ?
ku,lequel
"Keneen ki la, defe naa !","C'est l'autre, je crois !"
Xolal fépp !,Fouille tout endroit !
dogalante,se faire de petits cadeaux
Më õgile demkoon,Voilà que j'aurais été
bu,que ne pas
xottat,morceau
kéemtaan,merveille
ca,à l'intérieur
Googu góor mu àndal !,Cet homme qui l'accompagne !
Dem na...,Il est parti...
Man la góor gi woo ?,C'est moi que l'homme appelle ?
"Gaynde gi dawul, moontin.","Le lion n'a pas fui, pourtant."
Defe naa tày dana ñëw !,Je croie qu'aujourd'hui il viendra !
wal,couler
Dem na.,Il est parti.
far naa,je suis allié
Góor gi moo demul,L'homme n'a pas été
Jigéen jenn réerul.,Aucune dame ne s'est égarée.
aji-defar,esprit constructif
Jigéen jule demul.,Cette femme-ci n'est pas partie.
Gisoon naa nit ñooña ñépp.,J'ai vu tous ces gens.
déeal,mourir pour 
xar,mouton
Dil nitu dëgg !,Sois homme de vérité !
jël,prendre
taal,allumer
Yeneen fas yan õga gis ?,Quels autres chevaux as-tu vu ?
Jëlël lépp !,Prends tout !
far,amant
wàn,montrer
araf ubbéeku,fricative
ntëng,sorte de puits
raf,clignoter
maggat,vieillir
nit ku góor,homme
dem,aller
Dil nitu réew mi !,Sois homme de ce pays !
Góor gee dem mba xale yee toog.,Ou l'homme est parti ou les enfants sont assis.
"Faatim la, mu ni.","C'est Fatim, dit-il."
pac,soin
Menn la.,Il est unique.
ndimo,tissu
Fu mu dem ?,Où a-t-il été ?
Man demuma,Moi je n'ai pas été
iñaan,envieux
tef,chevreau
ñaan,demander
Xaleel rekk õgeen !,Vous êtes des enfants seulement !
weddikat,qui nie
Gis õga xale bii woon ?,Tu vois ce garçon-là ?
Yan nit ñoo ñëw ?,Quelles personnes sont venues ?
Foofee fan ?,Là-bas où ?
Góor gi di dem,Góor giy dem
fenn,en un lieu
loolale,ce
Gisuleen fa woon kenn,Tu n'y avais vu personne
araf céexal,géminée
Keneen ki ñëwulwoon kookee.,Cet autre qui n'était pas venu.
Waaw,Oui
"Nagi dëkk bii õga gis, wa ci ëpp sa baay Alfa moo ka moom.","Des boeufs que tu vois dans cette ville, celui le plus gros appartient à ton père Alfa."
miir,avoir des vertiges
sépp,le tout
tase,se coincer
fettal,faire éclater
wall,secours
"Toogal ci fépp, fu leer !","Mets-toi n'importe où, où il fait clair !"
fad,abriter
xam xam lu,jouer au savant
Waxtaan õga ag keneen kookule kan ?,Tu aurais conversé avec qui d'autre ?
Man mii demuma,Moi-même je n'ai pas été
law,s'épandre
foofa,alors
Yaa demoon,C'est toi qui es parti
Góor gi deekoon na,L'homme serait mort
dac,toucher
fasu,se nouer
Moom dem na,Lui il est parti
Ragal naa joxoon ka doom bi,Je crains de lui avoir donné la clé
wattu,éviter
cëgg,grappe
Nit dem na !,Homme est parti !
laqu,se cacher
Benn bi rëcc laay seet.,Je cherche celui qui s'est échappé.
gisóo,se concerter
ree,rire
"Góor gi dem la, ma defe !","C'est l'homme qui part, je crois !"
Bëgg na góor gi dellusi,Il veut que l'homme revienne
Ci biir doõõ !,À l'intérieur tout simplement !
dikk,venir
komre,maigreur
Waaye nit kookii gaddaayoon nag dellusiwul.,"Par contre, cet homme qui s'exila ne revint pas."
ci,à l'intérieur
dax,beurre
tac,soigner
kañaan,jalousie
ñcar,branche
reetaan,ricanement
Gis naa gaynde.,J'ai vu lion.
Moo bëgg,C'est lui qui aime
Xale bi ne õgeen dugg mu gis leen.,L'enfant dit d'entrer pour qu'il vous voie.
uufu,se blottir
Defe naa du kii !,Je crois que ce n'est pas celui-ci !
añaan,jaloux
Du kenn.,Ce n'est personne.
leen,les
bi,au moment où
nule,de cette manière ci
Foofule fépp ?,Tout cet endroit-là ?
te,sur ce
jiitu,précéder
Góor gi niwul mi õgi fi !,L'homme ne dit pas qu'il est là !
may,donner
Yaw doõõ laa wax.,Je ne parle que de toi.
Bi mu demee,Lorsqu'il a été
lekkadi,abstinence devant la nourriture
lale,cela
"Kooka ak kile, bokkuñu !",Celui-là et celui-ci ne se ressemble en rien !
Diõga dem ?,Tu iras ?
Fas weneen wale moo baax !,C'est cet autre cheval là-bas qui est bon !
Gayndé genn réerul.,Aucun lion ne s'est égaré.
Góor gi dem ?,L'homme peut-il partir ?
ba itam,ou alors que
Góor gi gisu la woon,L'homme ne t'avait pas vu
ni,que
Dimëlé leen õgir ñooñe !,Aide-les à cause de ceux-là !
Su ñëwul dana xam !,"S'il ne vient pas, eh bien, il verra !"
waaye nag,toutefois
Noonu mu demoon foofa,Comme il avait ainsi été en ce lieu
Bi mu dee dem,Du moment qu'il part
Keneen demul.,Aucun autre n'est parti.
"Gaynde la, ku dem !",C'est peut-être un lion !
Lëf ki ñuul na kukk.,La chose est d'un noir obscur.
laf,bande d'étoffe grimpante
Daõgeen bëggé naka ñoom !,Vous êtes aussi avares qu'eux !
Ma may ñan ?,Je donne à qui ?
Séen naa as lëf.,"J'ai aperçu une chose, une portion."
Menn xar réerul.,Aucun mouton ne s'est égaré.
Ñépp ñan õga gis ?,Tous lesquels as-tu vus ?
liggéey,travail
néeg si,la petite maison
Kooku rekk la !,C'est celui-là tout simplement !
Teralal bépp nit !,Honore tout homme !
gabb,piocher
walla,ou
Négël xale bu rafet bi.,Attends la belle jeune fille.
ca,sur
Góor gi dem,L'homme a été
ca,à
Xale bile ñëwul ?,Cet enfant-ci n'est pas venu ?
andaar,instrument de mesure
Gis õga sa xarit yeneen yi ?,Tu as vu tes autres amis ?
Nit kii ci sama wet.,Cet homme près de moi.
Gis naa nagu Tugël.,J'ai vu vache d'Europe.
woddoo,se couvrir avec
Jox naa téere bi góor gi ñëw.,J'ai donné le livre à l'homme qui est venu.
ñooñee,ceux-là
ubbi,ouvrir
Fépp fu mu jëm foofu jàmm dana fa wacc.,Partout où il ira la paix descendra là.
Séen naa aw fas.,J'ai aperçu un cheval.
Keneen la ?,C'est un autre ?
Man dem në,Moi j'ai été
ëñ,retrousser
agg,arriver
Góor gi dem,L'homme partit
na,comme tel
wépp,le tout
gis,voir
Ba õga demee la.,C'est lorsque tu t'en allas.
jiitalante,série
waaw,oui
Kaay !,Viens !
Dafa doon liggéey.,Il travaillait.
Geneen gaynde laa bëgg !,C'est un autre lion que je veux !
na jaay,qu'il vende
Góor gi daawul wax.,"L'homme ne parlait pas, habituellement."
sopp,estimer
Waa ji day noyyee ak bakkan.,L'individu respire avec son nez.
Ñaata ?,Combien ?
daõ,tendu
Ndax kenn dem ?,Quelqu'un peut-il partir ?
fatu,s'abriter
óom,genoux
Mi õgii di dem !,Le voilà qui part !
gent,déserter
mu,lequel
Benn nit ki ñëw na.,L'un des hommes est venu.
Ci Séeréer yi ag Pël yi,Chez les Sérère et les Peul
lenn lale,l'une des choses qui est là-bas
Meneen nit laa bëgg !,C'est un autre homme que je veux !
sawaale,expliquer en même temps
réew,pays
Góor gi bëgg na õga dem te xale yi toog.,L'homme souhaite que tu partes et que les enfants restent.
lap,se noyer
Liggéeykat yi man ag yaw la.,Les travailleurs c'est toi et moi.
ñooña,auxquels
mpar,alliance
"Góor gee ni mi õgi fi, soo demee !","C'est l'homme qui a dit qu'il est là, certainement !"
Xolal fépp !,Fouille toute la place !
Bëñ,Dent
nit,homme
Lëf lan a réer ?,Quelle chose s'est égarée ?
bëgg,désirer
Bu më dem !,Que je ne parte pas !
Soppi leen ba ñu di ñeñeen te seeni xalaat di leneen.,Change-les à tel point qu'ils soient autres et que leur opinion aussi soit toute autre.
Laobe lë woon.,Je fus Laobé.
Man xar moo réer ?,Quel moutons est égaré ?
cëriñ,l'état de musulman
nal,presser
niit,éclairer
wax,parler
Xammee õga jabaram joojuwoon ?,Tu as reconnu sa femme ?
Menn doon na ñëw,Un seul est arrivé
Man õga woo ?,C'est moi que tu appelles ?
fa,là où
Keneen õga.,"Autre, tu es."
Su demoon,S'il avait été
xañc,écorce
Ca ñoom noonule taxaw,Vers ceux qui sont debout là-bas
Mayal nag wile !,Nourris cette vache-ci !
ban,boue
Góor gi di bày,Mais l'homme cultive
Gisoon naa xar yi yépp.,J'ai déjà vu tous ces moutons-ci.
fattarñi,déboucher
Xammee naa nagu Tugël !,Je reconnais une vache d'Europe !
"Ku dem, gaynde la !",C'est peut-être un lion !
saõx,il y a un moment
Na ?,Comment ?
"Dem naa, te dem õga, te dem na.",J'ai été et tu as été et lui il a été.
"Soo demee, góor gee ni mi õgi fi !","Certainement, c'est l'homme qui a dit qu'il est là !"
aaréen,arachide
Xar moomule mépp.,Ce mouton-là en entier.
Góor gi ni : cam,L'homme fit : pouah !
Nee dañu demul woon,Ceux-là n'ont pas été
Waaye man sax dama dul ñëw !,"Mais, moi, je n'ai pas été !"
te,et
Ñëwël ndax xale yi di mbër te it ñu di ay jambaar !,"Viens pour que les enfants soient des travailleurs, soient des braves !"
Xar mii mépp.,Ce mouton-ci en entier.
Gor gi dem na,L'homme est parti
talli,s'étendre de tout son long
Xale yule yaruwuñu.,Ces enfants que voilà ne sont pas sages.
Waaye man sax dama dul ñëw !,"Mais, même moi, je n'ai pas été !"
Moo doon ganam.,C'était son hôte habituellement.
ndaa,canari
Maa di dem,C'est moi qui pars
fab,prendre
fa woon,cet endroit là
Waaw Samba !,Oui Samba !
Beneen ndab laa bëgg !,C'est un autre récipient que je veux !
Tay jii góor gi dana dem,Aujourd'hui l'homme partira
lekke,manger avec
Bi õga ñëwée la,C'est quand tu es venu
ceetaan,spectacle
kandaar,le même instrument
"Doo dem, xanaa ?","Donc, tu ne partiras pas ?"
teõxu,articulation
sëf,change
te itam,et surtout
wéer,adosser
Nit ku baaxoon la !,C'est un homme qui fut bon !
Góor gi dem Rao ?,L'homme peut-il aller à Rao ?
Waa jii ag waa joojale duñu benn.,Cet homme-ci et cet homme-là ne sont pas les mêmes.
mépp,le tout
Nit ñi nee nañu mu dem.,Les gens demandent qu'ils partent.
Bule xale laa wax ?,Je parle de cet enfant-ci ?
Góor gi dem,L'homme qui est parti
yu,auxquels
Gisal Musaa doõõ !,Vois Moussa simplement !
Mi õgi fii ?,Il est là ?
muñandi,patience
Na õga dem,Que tu partes
lenn lale,l'une des parties qui est là-bas
Demoon na,Il a été
fule,là tout près de toi alors
Su góor gi dee ñëw,Quand l'homme viendra
Defal neneen !,Agis d'une autre manière !
Jënd ñaa menn xar mi !,J'ai acheté cette unique mouton !
"Ci kooku, ndax mu wettëliku !","Avec celui-là, afin qu'il ne soit pas seul !"
fatal,ranger pour quelqu'un
Gis naa nagu Tugal.,J'ai vu vache d'Europe.
Foo jaõge xërëm ?,Où as-tu été initié en sciences occultes ?
Gis naa nagu Tugël.,J'ai vu une vache d'Europe.
ñoom,eux
Feneen fi la góor gi dëkk ?,C'est de l'autre côté qu'habite l'homme ?
ma,me
Góor gi nee na ma : ci biti !,L'homme m'a dit : dehors !
ñu,lesquels
Jënd ñaa menn xar mi !,J'ai acheté ce seul mouton !
foofu,en cet endroit
ki,lequel
Ray na gaynde yu jigéen ya.,Il a tué les lionnes.
maõkoo,être de connivence
kuu,celui-ci
Su góor gi nëwée lépp baax !,"Si l'homme vient, tout ira !"
tag,se poser
Jënd naa xaru beneen waa jan ?,J'aurais acheté le mouton de quelle autre personne ?
desit,résidus
Gis naa këru xaritu Biraayim wi.,J'ai vu la maison de l'ami de Birayim.
Xam õga xale bii ?,Tu connais cet enfant-ci ?
nëb,pourri
"Soo ñëwóon, kon, demkoon naa !","Si tu étais venu, dans ce cas, je serais parti !"
Yéen ñan la wax ?,Il parle desquels de vous ?
jabartu,charlatanisme
itte,obligeance
Ma õgoogule foofu.,"Le voilà, là."
ndab,récipient
Mu japp nag yooyu yan ?,Qu'il attrappe quelles vaches ?
muur,recouvrir
lenn lale,l'une des choses là-bas
Loo bëgg ?,Que veux-tu ?
Fu mu bëgg,Où veut-il
sagar,torchon
Soo demee góor gee ni kookule la !,Peut-être l'homme a-t-il dit que c'est celui-là !
Leneen lan ?,Laquelle autre ?
Nit kookuu génn laa wax !,Je parle de la personne qui est sortie !
fày,éteindre
Ndaw si réccu na amoon.,La femme regrette d'avoir eu une fortune.
Góor gi moo la gisul,C'est l'homme qui ne t'a pas vu
Duma ka ka jox.,Je ne le lui donnerai pas.
foofu,en ce moment
Ñan la ?,Qui sont-ce ?
ñjaq,canari
Fi õga dem foofile.,Là où tu as été.
ñaw,coudre
noyyi,respirer
Ku dem ?,Qui est parti ?
Yenn xar yooyuu laa wax !,Je parle des autres moutons !
yenn,quelques-uns parmi les hommes
Nit la woon !,Ce fut un homme !
nuu,ceux-ci
Ndax yaa begkoon.,Car c'est toi qui eûsses été heureux.
Góor gii bëggóon,Cet homme qui avait voulu
lóxó,bras
Góor gii bëggóon,Cet homme qui aimait
ñan,lequel
sóop,plonger
Yaa doonkoon wax,C'est toi qui aurais parlé
Bëgg naa góor gi ñëw,Je veux que l'homme vienne
daay,brûlé
kañaan,envie
par,alliance
Maay dem,C'est moi qui vais partir
tëng,femelle d'animal
noonu,ainsi
ba itam,à moins que
tere,interdire
Nit ñenn ñooñii laa wax !,Je parle de ces autres individus !
banneex,plaisir
Góor demul,Un homme n'a été
Séen naa ay yëf.,J'ai aperçu des choses.
araféef,consonne
la,cela
wante,mais
topp,suivre
Mu dem ?,Peut-il partir ?
Bii néeg ban õga wax ?,Tu parles de quelle maison ?
Waxtaanal ag ñooñu doõõ !,Cause tout simplement avec ceux-là !
wàñ,tordre
araféef raññee,prolongement morphologique simple
te nak,et surtout
odd,recouvrir
Gis õga sa yan xarit ?,Tu as vu quels amis à toi ?
as géwél,un petit griot
Xar moomu man õga wax ?,Tu parles de quel mouton ?
Góor gi gisu la,L'homme ne t'a pas vu
"Ci Séeréer si, ci Pël yi, ci Ñomiõka yi...","Chez les Sérère, les Peul, les Niominka..."
dara,rien
Moo daan dem,C'est lui qui allait habituellement
Gis na ma man mi.,Il m'a vu moi-même.
Kër gépp,Toute la maison
Wax naa ko mu ñibbi.,Je lui ai dit de rentrer.
jam,piquer
lenn,une chose
amoon,passé défini
Gis naa nit ñi.,Je vois les gens.
dendandoo,voisiner
Yobul na góor gi xar kërëm.,Il a amené à l'homme un mouton chez lui.
wër-wër,va et vient
Xar mii man ?,Quel mouton ?
kër,maison
rëbb,chasser
Ñeneen lañu.,Il s'agit d'autres.
Nit ñi daawuñu coow.,"Les gens n'étaient pas, habituellement, bavards."
jëf,acte
Mayal benn ñépp !,Donne un à chacun !
kooku,celui-là
Daan na di génn.,Il avait l'habitude de sortir.
waa kaw,habitant de l'intérieur
Ndax kan dem ?,Afin que parte ?
saf,piquant
Ci biir fiy leer,Là où il y a de la lumière
Musaa !,A Moussa !
Kooku dem ku më bëgg la !,"C'est quelqu'un que j'apprécie, celui qui est parti !"
daõ-daõ,trépidation
Seetil xar yépp !,Va voir tous les moutons !
waxtaan,causer
jam,stimuler
góorgóor-lu,se conduire en homme
ba,à
taax,bâtiment
bépp,chaque
ak,grâce à
keneen ki,de l'autre
fee,là-bas
nale,de cette manière-là
xam,savoir
Nit doõõ õga !,Tu es uniquement un homme !
Nag woowa wépp.,"Ce boeuf-là, en totalité."
"Gis na ka, moom, Musâ !","Il l'a vu, lui, Moussa !"
kodday,manière de s'habiller
xaf,coudre deux bandes d'étoffe
googa,celui
waaraw,habitant de Rao
"Moom nak, kenn du wax","Ainsi, nul ne parle"
bax,bon
bu,quand
Góor gi bëggul,L'homme ne veut pas
Góor gi may na nit dara.,L'homme a donné quelque chose à quelqu'un.
géew,faire une réunion
Bile xale ñëwul ?,Cet enfant-ci n'est pas venu ?
moomii,celui
xëyna !,peut-être !
suuf,sol
Yobul na fi góor gi xar.,Il y amena un mouton pour l'homme.
Bi õga dee dem,Du moment que tu pars
Gis na keneen ki woon.,J'ai vu l'autre.
Te demuloo fenn ?,Et tu n'as été nulle part ?
xool,regarder
Xar moomee mépp.,Tout ce mouton.
Wante woowa ma la yóot it deey bonul.,Mais celui que je t'ai donné n'est pas mauvais non plus.
Dëkku Séeréer ban õga wax ?,Tu parles de la ville de quel Sérère ?
kon nag,dans ce cas
Waa ji demulwoon,L'homme n'a pas été
Jambaar du bare wax.,Homme de courage n'abonde pas paroles.
Ni õga def noonu.,Cela même que tu as fait.
nit,un homme
Moo di loola !,Quel démon !
Wayafuloo na sa nday ji.,Tu n'es pas aussi modeste que ta mère.
ngéew,assemblée
liggéeyaan,louer son travail à l'extérieur
Ci ki mu wax.,Chez celui qu'il a indiqué.
yan,qui
Kookule la ?,C'est cet autre-là ?
wàññ,compter
jeqi,remuer
Dem naa te demuloo !,J'ai été et tu n'as pas été !
Ma õgii toog.,Le voilà assis là-bas.
Kenn a õgi.,En voilà un.
fad,ranger
yépp,la totalité
Waxuma yooyale xale ?,Je ne parle pas de ces enfants ?
Kooku dem ku më bëgg la !,"Celui qui est parti, c'est quelqu'un que j'apprécie !"
Ku wax ?,Qui a parlé ?
buy,fruit du baobab
fot,avaler de travers
Waxuloowoon ca loola dara !,Tu n'avais rien dit de cela !
Baax na ?,C'est bon ?
ñaanaatu,quémande
Daõga tayal naka keneen kee.,Tu es paresseuse comme cet autre-là.
sañ,faire preuve d'audace excessive
jigéenu wérul,femme qui ne se porte pas bien
Waxtaan õga ag ñépp gannaaw nooñii.,Tu as discuté avec tous sauf avec ceux-là.
Góor gi dem na ndax õgeen ñëw te nak kenn bañ leen foog.,"L'homme est parti pour que vous veniez sans que personne, surtout, ne le soupçonne."
nobaate,nourrir une petite passion
Góor gi dem na ci biir.,L'homme est allé à l'intérieur.
Nit la ci lan ?,C'est un homme pour quelles raisons ?
Dafa di dem.,Il doit partir.
dagu,adopter une attitude de serviteur vis-à-vis de quelqu'un
Bu mu dem,Qu'il ne parte pas
Xar yan ñoo ñëw ?,Quels moutons sont arrivés ?
urus,or
Dafa doon nitu dëgg.,C'est un homme de vérité.
nobaate,amourette
ndugóor,fruit
fenn,nulle part
"Kookule, moom, du naõgu !","Celui-là, lui, il refusera !"
demin,l'état
kuu,tout près
Kenn demul,Nul n'a été
Fabal benn boobu bépp !,Prends celui-là en entier !
wàõõ,avarié
Du woon góoru Ndar.,Ce n'était pas un homme de Saint-Louis.
"Ñooñu, ñépp dañuy dem !",Tous ceux-là doivent partir !
Joxal kenn liggéey bi !,Donne le travail à un autre !
leneen loolee woon,cet autre chose qui fut
May naa ka keneen ku ka gën.,Je l'ai donné à quelqu'un de meilleur que lui.
dem-bi,le départ
fital,mettre en tête
waññiku,se retourner
Lëf ki leer na nàññ.,La chose est d'une clarté lumineuse.
jaar,passer par
taf,afficher
Ci ñi ak ca nee,Chez ceux-ci et ceux-là
Góor gi doon dem,L'homme qui partait
Nit ku baaxkoon la !,C'est un homme qui eût été bon !
mépp,chaque
soppe,ami
seetu,miroir
soppaate,estimer
jaambur-jaambur,habitant du Diambour
seet,sonder
Yaw moomu laa wax.,Je parle de toi-même.
Ndax waa ji génn ?,Que la personne sorte ?
Boobu néeg ban õga wax ?,Tu parles de quelle maison ?
na,aussi
fa woon,cet endroit là fut
Yaw walla moom am na ci ku dem,"Toi ou lui, il en est un qui est parti"
Dañu defewoon ni daa dem ci subë ag ci õgoon yépp !,On croyait que tu allais partir matin et soir !
Jambaar du bare wax.,Homme de courage n'abonde pas en paroles.
Xar menn man õga wax ?,Tu parles de quel mouton ?
Gis naa la,Je t'ai vu
Ndaw san a réer ?,Quelle jeune fille s'est égarée ?
dan,tendu
Góor gi bëgg na kii.,L'homme aime celui-là.
Gis naa nagu Tugël.,J'ai vu des vaches d'Europe.
Ya di ban jaõgkat ?,Tu es quel genre d'étudiant ?
Nit ku baaxul la !,C'est un homme qui n'est pas bon !
Ñee dañu demulkoon,C'est ceux-là qui n'eussent pas été
"Soo demee, mu ñëw.","Si tu pars, il vient."
toogukaay,siège
Dil nitu nit ñi !,Sois l'homme de la situation !
óbbëli,bailler
Génnéel,Fais sortir
wànn,avaler
Ana õga ?,Où es-tu ?
joyee,celles-là
Góor gi gis na kookale.,L'homme a vu cet autre-là.
Séen naa am guy.,J'ai aperçu un baobab.
waar,étonner
Nit ñeñeen la gis !,C'est d'autres gens que j'ai vus !
Góor gi soppul seen lekku Saalum yooyu.,L'homme n'apprécie pas votre cuisine du Saloum.
Lenn loolule lan ?,Cet autre lequel ?
apiko-dantaal,apico-dental
Ki kan la ?,Qui est-ce celui-ci ?
Na gor gi dem,Que l'homme parte
Loolu la.,Voilà ce qu'il en est.
Mu dem,Il est parti
and,fourneau en argile
Gisi leen !,Va les voir !
"Ñëwël ndax xale yi di ay liggéeykat, di ay jambaar... !","Viens pour que les enfants soient des travailleurs, soient des braves... !"
reewaale,feindre en riant
Yéen bëgg õgeen,"Vous, vous voulez"
waaye sax,d'ailleurs
Ci biir õga wax ?,C'est à l'intérieur que tu dis ?
jaambur,un certain individu
gi,celui
Góor gi bëgg na di dem,L'homme veut partir de temps à autre
Séen naa ay xar.,J'ai aperçu des moutons.
Ndax kan dem ?,Afin que qui parte ?
daay,endroit déserté
mbay,culture
néeg bi,la maison
Ya di ban jaõgkat ?,Tu es quel étudiant ?
Séen naa as jigéen.,J'ai aperçu une femme.
"Soo demee, Faatim la !","Si on va au fond des choses, c'est Fatim !"
dogoo,rupture
demin,manière d'aller
Sama aw xarit !,Un ami à moi !
Lan la ?,Qu'est-ce qu'il y a ?
Ndaw la góor gi di wut.,C'est un messager que cherche l'homme.
Góor gee ni soo demee nit la !,L'homme a peut-être soutenu qu'il est sain d'esprit !
foofuu,là tout près de toi
gajj,scarifier
an,enlever des ordures
Moontin góor gi jambaar la lool ci liggéey bi.,Et pourtant l'homme est dur à la tâche.
Bëgg na õga dem,Il veut que tu viennes
Lawbe la.,C'est un bûcheron.
Duggël ci biir mbaa ci fii !,Pénètre à l'intérieur ou ici !
dagguu,pourboire
Wekkil gëñ yii !,Arrache ces dents-là !
amees,actuel
Keneen kookule muy woo.,De cet autre qu'on appelle.
Samba  mi ñëw ?,Samba  qui est venu ?
Fu mu ?,Où est-ce ?
Yooyu la góor gi bëgg,C'est ceux-là que l'homme désire
ñaawtéef,vilenie
baaxal,rendre bon
Bul dem !,Ne pars pas !
defarkat,constructeur
waajur,parents
Moo dul Lawbe Bawal.,C'est lui qui n'est pas Laobe du Baol.
noonii,comme ça
Góor gi xale bi woo,L'homme que l'enfant a appelé
Nit ag gaynde duñu dëkkóo.,Homme et lion ne cohabitent pas.
jéem,essayer
foofu,alors
Jubënti ko ak bant !,Redresse-le avec un baton !
"Ba fi, mu tollu","Jusqu'ici, c'est bon"
laaw,prendre dans un filet
Seneen ndaw laa bëgg !,C'est une autre jeune fille que je veux !
dok,couper
Dem naa ci kër gu yaa !,J'ai été dans une maison spacieuse !
waalo,nom de région
Doo dem ?,Tu ne pars pas ?
Amet jaay na naaru-góoru Daawuda wa woon.,Ahmet a vendu le pur-sang que David possédait.
Xammee õga waa jooju ?,Tu reconnais cet individu-là ?
Nit ag gaynde duñu dëkkóo.,Homme et lion ne cohabitent.
sopp,trouver gentil
moontin nag,en dépit de tout
Ci biir la góor gi dugg.,C'est à l'intérieur qu'est entré l'homme.
car,branche
Gis õga sa yeneen xarit yi ?,Tu as vu les autres amis ?
Xar yile yan ?,Quels moutons ?
Lépp lu baax la góor gii bëgg.,C'est tout ce qui est beau qui séduit cet homme.
Yéen demuleenwoon,"Vous, vous n'avez pas été"
wét,fibre de coton
sat,battre quelqu'un à plusieurs
bares,pluriel
Xale bule laa wax ?,Je parle de cet enfant-ci ?
Jëgg day wut fu mu jaar ag itam na mu laqoo.,Le convoyeur doit chercher où passer et aussi comment se cacher.
Nit rekk õga !,Tu es un mortel tout simplement !
gëmm,fermer les yeux
xam-xam,science
Gis õga nit kale ?,Tu vois cet homme là-bas ?
ñooñuu,celles-ci
Yaw la bëgg.,C'est toi qu'elle veut.
Li õga wax loolu.,Ce que tu as dit.
Yëf yan ñoo réer ?,Quelles choses se sont égarées ?
Yooyuu,Celles-ci
tis,éclabousser
lam,bracelet
Yaa daan ganu Mustaf,Tu étais d'habitude l'hôte de Mustapha
Kooku doõõ la !,C'est là seulement !
jiitu,être en tête
Moo daawoon di liggéey.,C'est lui qui avait l'habitude de travailler.
Su ñëwul dana xam !,"S'il ne vient pas, il verra !"
Ñeñeen dem nañu,D'autre sont partis
Waa ji gor la fi !,L'homme y est magnifique !
naa,que je
bépp,le tout
ga,celui
Ag ñan õga doon xeexal ?,Tu te battais avec qui ?
Duõgeen woon ñëw,Vous ne seriez pas venus
Setal keneen ki rekk !,Cherche l'autre tout simplement !
Yaa õgoogu rekk !,"Te voilà, quoi !"
tur,nom
nule,de cette manière
Góor gi waxoon na,L'homme avait parlé
Fas weneen wu moo daw.,C'est l'autre cheval qui s'est égaré.
Aminta ñëw ?,Aminata peut-elle venir ?
"Soo bëggul, ci fii kóon !","Ici alors, si tu refuses !"
Gis naa kenn ki ñëw,J'ai vu l'autre qui est venu
Dama di dem,Moi je partirai
Wax jépp,Tout ce discours
jur,donner naissance
coyy,rouge écarlate
mpal,élection
Mi õgi noonu rekk.,"Le voilà, là, tout simplement."
dindi,enlever
Demal góor gi gis la !,Va que l'homme te voie !
joor,terrain sablonneux
Góor gi doon dem,L'homme qui devait partir
Gis õga kookuu kan,Tu as vu celui-là lequel
dog,arrêter
Góor gi daan liggéey,L'homme qui travaillait d'habitude
lax,fané
ñi,lesquels
te,alors
toogu,siège
xañjar,cuivre
Ana mu ?,Où est-il ?
mbëgg,désir
law,s'étendre
Maa õgii demoon,Voila que j'ai été
gu,lequel
Waa ji moo dulwoon dem,C'est ce personnage qui n'allait pas partir
mbubb,un boubou
Keneen a õgi.,En voilà un autre.
Gis naa góor gi Musaa.,J'ai vu Monsieur Moussa.
wàlaf,habitant du Lof
Bul yaréediku niki waa jii !,Ne sois pas aussi impoli que cet individu !
nale,de
liggéey,travailler
Góor gi gisul meneen.,L'homme n'en a pas vu un autre.
wàññeeku,retournement
ya,lesquels
aji dogal,juge
nit ñu góor,hommes
Feneen fi bëttóon foofu.,Cet autre endroit où il y avait une fuite.
magg,grandir
Bi õga demee la.,C'est quand tu as été.
"Waaw nak, kenn bëggul dem","Ainsi donc, personne ne veut partir"
ci biir,à l'intérieur
waaye,cependant
Gis naa góor gi doon wax te toogoon ci suuf.,J'ai vu cet homme qui parlait et qui était assis par terre.
Foo wax ?,Où dis-tu ?
xew-xew,événement
bon nag,dans ce cas
jépp,tout
Foo jaõge xerëm ?,Où t'es-tu initié en sciences occultes ?
bala,demander pardon
Xam naa xale bi.,Je connais l'enfant.
Maa di dem,C'est moi qui dois partir
dad,user par frottement
Loo gis ci biti,Qu'as-tu vu dehors ?
"Su bëggul, na dem !",Qu'il parte s'il ne veut pas !
"Abalal keneen ki demkoonul ki, sama téeré bi !","Prête à cet autre qui n'eût pas été, mon ouvrage !"
boli,gosier
and,vase en argile
Nit ku baax !,Quelqu'un de bien !
Berëb yi berëb yu yaa lañu.,Ces lieux sont de vastes étendues.
goreedi,manquer de noblesse
